_row,deficiency,action,category,city,facility
108,Weirs missing in skimmers.,Ensure to install weirs.,Repair/replace equipment,HALTOM CITY,FOSSIL HILL APARTMENTS
108,no air gap for backwash.,Ensure to provide an air gap for backwash.,Clean/clear water,HALTOM CITY,FOSSIL HILL APARTMENTS
108,"missing signs: - Hours of operation. minimum 1"" - Maximum user load. minimum 2""",Ensure to post the states above signs in pool yard.,Signage/permit posting,HALTOM CITY,FOSSIL HILL APARTMENTS
108,"""No Diving"" sign in 4 inches missing.",Ensure to post the stated above sign in pool yard.,Signage/permit posting,HALTOM CITY,FOSSIL HILL APARTMENTS
108,"no ""In case of emergency- Dial 911"" in 4 inch letters.",Ensure to post the stated above sign in pool yard.,Signage/permit posting,HALTOM CITY,FOSSIL HILL APARTMENTS
108,rope not attached to ring bouy.,Ensure rope is attached to ring bouy.,Misc fixes,HALTOM CITY,FOSSIL HILL APARTMENTS
109,no max user load sign provided.,Ensure to provide sign in 2 inch letters.,Signage/permit posting,HALTOM CITY,ACACIA APARTMENTS
109,missing weirs.,Ensure to install weirs in skimmers.,Repair/replace equipment,HALTOM CITY,ACACIA APARTMENTS
109,missing pool signs:,Must post the stated above pool signs in pool yard.,Signage/permit posting,HALTOM CITY,ACACIA APARTMENTS
109,Missing sign.,Ensure to provide.,Misc fixes,HALTOM CITY,ACACIA APARTMENTS
109,"Missing "" IN CASE OF EMERGENCY- DAILY 911"" 4 inch letters.",Ensure to provide.,Misc fixes,HALTOM CITY,ACACIA APARTMENTS
109,pole not bolted to hook.,Ensure pole is bolted to hook.,Misc fixes,HALTOM CITY,ACACIA APARTMENTS
110,Missing weirs in skimmers.,Ensure to install weirs in skimmers.,Repair/replace equipment,HALTOM CITY,ACACIA APARTMENTS
110,missing pool signs:,Must post the stated above pool signs in pool yard.,Signage/permit posting,HALTOM CITY,ACACIA APARTMENTS
110,"Missing ""IN CASE OF EMERGENCY-DIAL 911"" sign in 4 inch letters.",Ensure to provide sign.,Signage/permit posting,HALTOM CITY,ACACIA APARTMENTS
110,pole not bolted to hook.,Ensure pole is bolted to hook.,Misc fixes,HALTOM CITY,ACACIA APARTMENTS
110,Gate next to pump room not self-latching.,Ensure gate is self-closing and self-latching. Ensure to keep back gate locked until fixed.,Gate/fence/latch,HALTOM CITY,ACACIA APARTMENTS
110,outside latch on gate next to pump room less than 60 inches above the ground.,Ensure outside latch is 60 inches above the ground.,Gate/fence/latch,HALTOM CITY,ACACIA APARTMENTS
111,Weirs missing in skimmers.,Ensure to install weirs in skimmers.,Repair/replace equipment,HALTOM CITY,FOSSIL HILL APARTMENTS
111,"missing signs: - Hours of operation. minimum 1"" - Maximum user load. minimum 2""",Ensure to post the stated above signs in pool yard.,Signage/permit posting,HALTOM CITY,FOSSIL HILL APARTMENTS
111,"""No Diving"" sign in 4 inches missing.",Ensure to post the stated above sign in pool yard.,Signage/permit posting,HALTOM CITY,FOSSIL HILL APARTMENTS
111,"no ""In case of emergency- Dial 911"" in 4 inch letters.",Ensure to post the stated above sign in pool yard.,Signage/permit posting,HALTOM CITY,FOSSIL HILL APARTMENTS
111,pole not bolted to hook.,Ensure pole is bolted to hook.,Misc fixes,HALTOM CITY,FOSSIL HILL APARTMENTS
111,ring bouy not approved by U.S. Coat Guard.,Ensure to have U.S. coast guard approved ring bouy.,Misc fixes,HALTOM CITY,FOSSIL HILL APARTMENTS
111,a garden post with GFCI outlet next to south fence making the fence scalable.,Ensure fence is not scalable.,Gate/fence/latch,HALTOM CITY,FOSSIL HILL APARTMENTS
113,free chlorine at 12 ppm.,Ensure chlorine concentration is in proper range.,Adjust chemistry (chlorine/pH),RICHLAND HILLS,CREEK ON CALLOWAY
113,pH at 8.,Ensure ph of pool water is in proper range.,Adjust chemistry (chlorine/pH),RICHLAND HILLS,CREEK ON CALLOWAY
113,damaged tiles on pool wall.,Ensure damaged pool wall is repaired or replaced.,Misc fixes,RICHLAND HILLS,CREEK ON CALLOWAY
113,debris in pool water.,Ensure pool water is debris and algae free.,Clean/clear water,RICHLAND HILLS,CREEK ON CALLOWAY
113,pool lights not turning on.,Ensure pool lights are functional and able to be tested at all times.,Misc fixes,RICHLAND HILLS,CREEK ON CALLOWAY
113,unable to test GFCI due to pool lights not turning on.,Ensure GFCI is installed on pool lights and can be tested during inspection.,Electrical/GFCI/Bonding,RICHLAND HILLS,CREEK ON CALLOWAY
113,"following sign not in 2 inch letters: ""Pets in pool prohibited..."","" Do not swim if ill with...."","" Changing diapers..."","" Glass items not allowed..."","" Persons under the age..."","" Extended breath holding.."".",Ensure signage requirements are met as listed in Figure : 25 TAC Â§265.201(j)(5).,Signage/permit posting,RICHLAND HILLS,CREEK ON CALLOWAY
113,no shepherd's crook in pool enclosure.,"Ensure a shepherd's crook on a 12"" non conductive pole is available in pool enclosure.",Lifesaving gear,RICHLAND HILLS,CREEK ON CALLOWAY
115,missing spare main drain cover.,Ensure to have a spare main drain over on site.,Misc fixes,HALTOM CITY,RISE FOSSIL CREEK - OFFICE POOL
115,letters less than 1 inch.,Ensure all letters on sign are 1 inch.,Signage/permit posting,HALTOM CITY,RISE FOSSIL CREEK - OFFICE POOL
115,rope not attached to ring bouy.,Ensure rope is attached to ring bouy.,Misc fixes,HALTOM CITY,RISE FOSSIL CREEK - OFFICE POOL
115,South Gate not self-latching.,Ensure gate is self-closing and self-latching.,Gate/fence/latch,HALTOM CITY,RISE FOSSIL CREEK - OFFICE POOL
115,east fence climbable.,Ensure fence is not climbable/ scalable.,Gate/fence/latch,HALTOM CITY,RISE FOSSIL CREEK - OFFICE POOL
116,missing spare main drain cover.,Ensure to have spare main drain cover on site.,Drain cover/VGBA,HALTOM CITY,RISE FOSSIL CREEK - BACK POOL
116,some letters on sign less than 1 inch.,Ensure all letters on sign are 1 inch.,Signage/permit posting,HALTOM CITY,RISE FOSSIL CREEK - BACK POOL
116,rope not attached to ring bouy.,Ensure to attach rope to ring bouy.,Misc fixes,HALTOM CITY,RISE FOSSIL CREEK - BACK POOL
117,chlorine at 11 ppm. Manual backup chlorine unit was turned on and after test it was turned off. Pool was adjusted,Ensure that chlorine is from 1ppm to 8ppm.,Adjust chemistry (chlorine/pH),HURST,HYATT PLACE FORT WORTH HURST
119,flow meter not install.,Ensure to install flow meter.,Repair/replace equipment,HALTOM CITY,FUSION FORT WORTH APARTMENTS 
119,exposed piping not labeled to identify function and flow direction.,Ensure exposed piping is labeled to identify function and flow direction.,Misc fixes,HALTOM CITY,FUSION FORT WORTH APARTMENTS 
121,ladder was loose.,Ensure to tighten ladder for pool.,Repair/replace equipment,BENBROOK,COMFORT SUITES
122,no valid permit.,Renew permit by 6/26/25 and pay late fees.,Signage/permit posting,SAGINAW,COURTS OF WILLOW CREEK HOA
123,no documentation of current main drain cover install date onsite.,Person in charge will provide documentation of current main drain cover install date in 48 hours as documentation is maintained with contracted pool company offsite.,Drain cover/VGBA,FORT WORTH,FORT WORTH BOAT CLUB
123,skimmer in small pool is lacking skimmer weir door.,Ensure to obtain and install skimmer weir door in skimmer.,Repair/replace equipment,FORT WORTH,FORT WORTH BOAT CLUB
124,chlorine levels at 1ppm.,Ensure chlorine levels are between 2-8ppm.,Adjust chemistry (chlorine/pH),WESTLAKE,MARRIOTT DFW WESTLAKE
124,operator unable to test SVRD.,Ensure SVRD is able to be tested.,Misc fixes,WESTLAKE,MARRIOTT DFW WESTLAKE
124,no date of installation of the main drain covers. Observed no extra main drain covers.,Ensure to have a date of installation of the main drain covers and an extra main drain cover.,Drain cover/VGBA,WESTLAKE,MARRIOTT DFW WESTLAKE
124,all skimmers missing a weir.,Ensure all skimmers have a weir.,Repair/replace equipment,WESTLAKE,MARRIOTT DFW WESTLAKE
124,Two lights not working in the main pool.,Must repair/replace lights.,Repair/replace equipment,WESTLAKE,MARRIOTT DFW WESTLAKE
124,no soft pliable end for the fill spout.,Must provide a soft pliable end for the fill spout.,Misc fixes,WESTLAKE,MARRIOTT DFW WESTLAKE
124,"the following signs not in the pool yard: ""PETS IN THE POOL ARE PROHIBITED"" in 2"". ""DO NOT SWIM IF YOU HAVE BEEN ILL WITH DIARRHEA WITHIN THE PAST 2 WEEKS"" in 2"". ""VHANHING DIAPERS WITHIN 6 FEET OF THE POOL OS PROHIBITED"". ""GLASS ITEMS NOT ALLOWED IN THE POOL YARD"". ""PERSONS UMDER THE AGE OF 14 MUST NOT BE IN THE POOL W/O ADULT SUPERVISION"". ""EXTENDED BREATH HOLDING ACTIVITIES ARE DANGEROUSLY AND PROHIBITED"".",Must obtain signage in required sizing.,Signage/permit posting,WESTLAKE,MARRIOTT DFW WESTLAKE
124,"""CHILDREN SHOULD NOT USE POOL W/O ADULT SUPERVISION"" in 2"" lettering.",Must obtain signage in required sizing.,Signage/permit posting,WESTLAKE,MARRIOTT DFW WESTLAKE
124,no CPO certification on site.,Must have a CPO certification on site.,Misc fixes,WESTLAKE,MARRIOTT DFW WESTLAKE
124,expired TCPH permit posted.,Ensure to post current TCPH permit in public view.,Signage/permit posting,WESTLAKE,MARRIOTT DFW WESTLAKE
125,the chlorine above 8ppm.,Ensure chlorine levels are between 2-8ppm.,Adjust chemistry (chlorine/pH),WESTLAKE,MARRIOTT DFW WESTLAKE
125,"no ""CHILDREN SHOULD NOT USE SPA W/O ADULT SUPERVISION"" in 2"" lettering.",Must post proper signage in proper sizing.,Signage/permit posting,WESTLAKE,MARRIOTT DFW WESTLAKE
125,operator unable to test SVRD.,Must be able to test SVRD.,Misc fixes,WESTLAKE,MARRIOTT DFW WESTLAKE
125,no installation dates for main drain cover. Observed no extra main drain cover.,Must have date of installation to main drain covers and an extra main drain cover.,Drain cover/VGBA,WESTLAKE,MARRIOTT DFW WESTLAKE
125,no weir in the skimmer basket.,Ensure to have a weir in all skimmer baskets.,Repair/replace equipment,WESTLAKE,MARRIOTT DFW WESTLAKE
125,"the following signs not in the pool yard: ""PETS IN THE POOL ARE PROHIBITED"" in 2"". ""DO NOT SWIM IF YOU HAVE BEEN ILL WITH DIARRHEA WITHIN THE PAST 2 WEEKS"" in 2"". ""VHANHING DIAPERS WITHIN 6 FEET OF THE POOL OS PROHIBITED"". ""GLASS ITEMS NOT ALLOWED IN THE POOL YARD"". ""PERSONS UMDER THE AGE OF 14 MUST NOT BE IN THE POOL W/O ADULT SUPERVISION"". ""EXTENDED BREATH HOLDING ACTIVITIES ARE DANGEROUSLY AND PROHIBITED"".",Ensure to obtain proper signage in required sizing.,Signage/permit posting,WESTLAKE,MARRIOTT DFW WESTLAKE
125,"no ""CHILDREN SHOULD NOT USE SPA W/O ADULT SUPERVISION"" in 2"" lettering.",Must obtain signage in required sizing.,Signage/permit posting,WESTLAKE,MARRIOTT DFW WESTLAKE
125,no CPO certification onsite.,Must obtain a CPO certification.,Misc fixes,WESTLAKE,MARRIOTT DFW WESTLAKE
125,expired TCPH permit posted.,Ensure to post current TCPH permit in public view.,Signage/permit posting,WESTLAKE,MARRIOTT DFW WESTLAKE
127,hand rail on the shallow end of the pool is loose.,Ensure to tighten hand rail.,Misc fixes,HURST,HURST GARDENS APTS
128,pool plaster is discolored and chipping in various spots.,Ensure plaster is repaired.,Misc fixes,HURST,GLEN ROSE PARK
129,brick damaged on west planter.,Ensure brick damage is repaired on planter.,Misc fixes,BEDFORD,SUMMERSTONE APARTMENTS
129,skimmers filled with debris.,Ensure skimmers are free of debris.,Misc fixes,BEDFORD,SUMMERSTONE APARTMENTS
129,both skimmers missing weirs.,Ensure all skimmers have weirs.,Misc fixes,BEDFORD,SUMMERSTONE APARTMENTS
129,"no ""No diving"" sign on the planters next to the pool.",Ensure the planters have a no diving sign or symbol on the planters.,Signage/permit posting,BEDFORD,SUMMERSTONE APARTMENTS
129,the ring buoy missing a rope.,Ensure the ring buoy has a rope.,Misc fixes,BEDFORD,SUMMERSTONE APARTMENTS
129,west gate is not self latching.,Ensure the west gate is self latching.,Gate/fence/latch,BEDFORD,SUMMERSTONE APARTMENTS
129,chemical log infrequently recorded.,Ensure chemical log is recorded daily.,Records/testing kit/logs,BEDFORD,SUMMERSTONE APARTMENTS
130,no outlet gauge and no flow meter.,Ensure the circulation system is equipped with a flow meter and an outlet pressure gauge.,Misc fixes,BEDFORD,SUMMERSTONE APARTMENTS
130,large stepping rock under fountain was not secure.,Ensure large stepping rock under the fountain is repaired or replaced.,Misc fixes,BEDFORD,SUMMERSTONE APARTMENTS
130,algae growth in the pool across from the fountain and on the large stepping stones.,Ensure the pool is algae free.,Clean/clear water,BEDFORD,SUMMERSTONE APARTMENTS
130,the ring buoy in the pool room.,Ensure the ring buoy is accessible at all times.,Misc fixes,BEDFORD,SUMMERSTONE APARTMENTS
130,chemical log inconsistently recorded.,Ensure the chemical log is recorded regularly.,Records/testing kit/logs,BEDFORD,SUMMERSTONE APARTMENTS
131,missing extra main drain cover on site.,Ensure to have extra main drain cover on site.,Drain cover/VGBA,HALTOM CITY,EMMITT LUXURY APARTMENTS
131,exposed piping not labeled to identify function and flow direction.,Ensure exposed piping are labeled to identify function and flow direction.,Misc fixes,HALTOM CITY,EMMITT LUXURY APARTMENTS
131,missing weirs.,Ensure to install weirs.,Repair/replace equipment,HALTOM CITY,EMMITT LUXURY APARTMENTS
131,ring bouy rope is tangled.,Ensure to untangle rope.,Misc fixes,HALTOM CITY,EMMITT LUXURY APARTMENTS
131,operation logs not available.,Ensure operation logs are available.,Misc fixes,HALTOM CITY,EMMITT LUXURY APARTMENTS
131,expired health permit posted.,Ensure to have a current/valid health permit posted.,Signage/permit posting,HALTOM CITY,EMMITT LUXURY APARTMENTS
132,flow meter not functional.,Ensure flow meter is functional and in good condition.,Misc fixes,RICHLAND HILLS,CREEK ON CALLOWAY
132,piping in pump room not labeled with function and flow.,Ensure piping in pump room is labeled with function and flow.,Repair/replace equipment,RICHLAND HILLS,CREEK ON CALLOWAY
132,"following signs not in 2 inch letters: ""Pets in pool prohibited..."","" Do not swim if ill with...."","" Changing diapers..."","" Glass items not allowed..."","" Persons under the age..."","" Extended breath holding.."".",Ensure signage requirements detailed in Figure: 25 TAC Â§265.201(j)(5) are met.,Signage/permit posting,RICHLAND HILLS,CREEK ON CALLOWAY
133,plaster damage next to the slides on the South and East side of the lazy river.,Ensure the plaster is repaired.,Misc fixes,BEDFORD,BEDFORD GENERATIONS PARK
133,some algae growth on north stair entrance by the railing.,Ensure the lazy river is cleaned thoroughly to prevent algae growth.,Clean/clear water,BEDFORD,BEDFORD GENERATIONS PARK
134,algae growth beneath play equipment in the shallow end.,Ensure area beneath the play equipment is cleaned regularly to prevent algae growth.,Clean/clear water,BEDFORD,BEDFORD GENERATIONS PARK
134,several skimmers missing weirs.,Ensure all skimmers have weirs.,Misc fixes,BEDFORD,BEDFORD GENERATIONS PARK
135,no direction of flow on piping system,ensure direction of flow is provided for circulation system,Misc fixes,GRAPEVINE,29 FIFTY APARTMENTS
135,worn expansion joints at 1ft 6 in depth marker area,ensure pool deck is in good repair,Repair/replace equipment,GRAPEVINE,29 FIFTY APARTMENTS
135,throw buoy secured to fence with a zip tie,ensure safety equipment is able to be deployed when in need,Misc fixes,GRAPEVINE,29 FIFTY APARTMENTS
137,missing suction and outlet gauge,ensure gauges are installed and functional,Misc fixes,GRAPEVINE,29 FIFTY APARTMENTS
137,direction of flow missing,ensure direction of flow is provided on pipes,Misc fixes,GRAPEVINE,29 FIFTY APARTMENTS
138,no measureable chlorine residual at time of inspection.,Correct before opening.,Misc fixes,Sansom Park,SANSOM RIDGE APARTMENTS
138,pH over 8.,Corrrect before opening.,Misc fixes,Sansom Park,SANSOM RIDGE APARTMENTS
138,no max user load sign present.,Ensure to calculate max user bath load and post to public view.,Signage/permit posting,Sansom Park,SANSOM RIDGE APARTMENTS
138,no documentation demonstrating main drains cover install dates.,Correct in 48 hours or must replace main drains covers.,Repair/replace equipment,Sansom Park,SANSOM RIDGE APARTMENTS
138,that pump vacuum gauge and pump flow meter are not working.,Ensure to replace pump vacuum gauge and flow meter.,Clean/clear water,Sansom Park,SANSOM RIDGE APARTMENTS
138,Unable to fully visualize main drains due to moderately high water turbidity.,Correct before opening. Must maintain main drains of pool visible at all times.,Records/testing kit/logs,Sansom Park,SANSOM RIDGE APARTMENTS
138,all skimmers are lacking skimmer weir doors.,Ensure to install weir doors on all skimmers.,Repair/replace equipment,Sansom Park,SANSOM RIDGE APARTMENTS
138,Unable to test pool lights at time of inspection.,Correct before opening.,Misc fixes,Sansom Park,SANSOM RIDGE APARTMENTS
138,Unable to test pool light GFCI onsite.,Correct before opening.,Misc fixes,Sansom Park,SANSOM RIDGE APARTMENTS
138,that both water fountains in pool yard not working at time of inspection.,Correct before opening.,Misc fixes,Sansom Park,SANSOM RIDGE APARTMENTS
138,that Sheppards pole is missing Sheppards hook.,Correct before opening.,Misc fixes,Sansom Park,SANSOM RIDGE APARTMENTS
138,that ring buoy is in poor condition.,Correct before opening.,Misc fixes,Sansom Park,SANSOM RIDGE APARTMENTS
138,no address sign at emergency phone demonstrating address of pool.,Must post address at emergency phone in 1 inch lettering.,Signage/permit posting,Sansom Park,SANSOM RIDGE APARTMENTS
138,that men's and women's bathroom is not maintained in good working and sanitary condition.,Correct before opening.,Misc fixes,Sansom Park,SANSOM RIDGE APARTMENTS
138,area below N fence across from bathrooms that has a greater than 4 inch gap.,Must not allow any areas in the pool fence that allow for any space greater than 4 inches.,Gate/fence/latch,Sansom Park,SANSOM RIDGE APARTMENTS
138,no pool chemical log.,Correct when open,Misc fixes,Sansom Park,SANSOM RIDGE APARTMENTS
141,no installation dates for currently installed drains.,Ensure to acquire installation dates for currently installed drains.,Misc fixes,HURST,WWC VALLEY OAKS LP DBA VALLEY OAKS
141,pressure gauge and flow meter are not functioning.,Ensure to replace pressure gauge and flow meter.,Repair/replace equipment,HURST,WWC VALLEY OAKS LP DBA VALLEY OAKS
141,leak at the pump.,Ensure to repair leak.,Repair/replace equipment,HURST,WWC VALLEY OAKS LP DBA VALLEY OAKS
141,no weirs installed in skimmers.,Ensure to install weirs.,Repair/replace equipment,HURST,WWC VALLEY OAKS LP DBA VALLEY OAKS
141,no address at phone.,"Ensure to install address signage at phone in 1"" letters.",Signage/permit posting,HURST,WWC VALLEY OAKS LP DBA VALLEY OAKS
141,no ring buoy.,Ensure to acquire a USCG approved buoy.,Misc fixes,HURST,WWC VALLEY OAKS LP DBA VALLEY OAKS
141,operators have no CPO.,Ensure operators have a CPO.,Misc fixes,HURST,WWC VALLEY OAKS LP DBA VALLEY OAKS
142,emergency shut off not visible from within the spa.,Ensure to post signage indicating location of emergency shut off for spa patrons.,Signage/permit posting,COLLEYVILLE,LIFETIME FITNESS
142,sign not in compliance with state law.,Ensure to have all signs with exact verbiage and letter sizing as stated in figure 25 TAC 265.190(f)(5).,Misc fixes,COLLEYVILLE,LIFETIME FITNESS
142,sign not in compliance with state law.,Ensure to have all signs with exact verbiage and letter sizing as stated in figure 25 TAC 265.190(f)(5).,Misc fixes,COLLEYVILLE,LIFETIME FITNESS
142,no pump vacuum gauge.,Ensure to replace gauge.,Repair/replace equipment,COLLEYVILLE,LIFETIME FITNESS
142,damaged deck tiles.,Ensure to repair or replace tiles.,Repair/replace equipment,COLLEYVILLE,LIFETIME FITNESS
142,missing weirs.,Ensure to replace weirs.,Repair/replace equipment,COLLEYVILLE,LIFETIME FITNESS
142,loose handrails.,Ensure to tighten handrails.,Misc fixes,COLLEYVILLE,LIFETIME FITNESS
142,signage out of compliance with state law.,Ensure to have all signs with exact verbiage and sizing as stated in figure 25 TAC 265.190(f)(5).,Misc fixes,COLLEYVILLE,LIFETIME FITNESS
143,no drain cover install date.,Ensure to acquire drain cover install dates.,Drain cover/VGBA,HURST,WWC VALLEY OAKS LP DBA VALLEY OAKS
143,sand and debris at the bottom of the pool.,Ensure to clean pool.,Clean/clear water,HURST,WWC VALLEY OAKS LP DBA VALLEY OAKS
143,missing weirs.,Ensure to install weirs.,Repair/replace equipment,HURST,WWC VALLEY OAKS LP DBA VALLEY OAKS
143,rope is not attached to buoy.,Ensure ring buoy is attached to rope.,Misc fixes,HURST,WWC VALLEY OAKS LP DBA VALLEY OAKS
143,operators do not have CPO's.,Ensure operators acquire a CPO certificate.,Misc fixes,HURST,WWC VALLEY OAKS LP DBA VALLEY OAKS
144,signage not compliant with state law.,Ensure to have all signs with exact verbiage and letter sizing as stated in figure 25 TAC 265.190(f)(5).,Misc fixes,COLLEYVILLE,LIFETIME FITNESS
144,no vacuum gauge.,Ensure to replace gauge.,Repair/replace equipment,COLLEYVILLE,LIFETIME FITNESS
144,missing and damaged tiles on pool bottom and deck.,Ensure to replace tiles.,Repair/replace equipment,COLLEYVILLE,LIFETIME FITNESS
144,missing skimmer weirs.,Ensure to replace weirs.,Repair/replace equipment,COLLEYVILLE,LIFETIME FITNESS
144,loose handrails.,Ensure to tighten handrails.,Misc fixes,COLLEYVILLE,LIFETIME FITNESS
144,sign not compliant with state laws.,Ensure to have all signs with exact verbiage and letter sizing as stated in figure 25 TAC 265.190(f)(5).,Misc fixes,COLLEYVILLE,LIFETIME FITNESS
146,no sidewall depth markers.,Ensure to post sidewall depth markers in required font sizing.,Signage/permit posting,COLLEYVILLE,LIFETIME FITNESS
146,max user load sign in incorrect verbiage and sizing.,Ensure to have all signs with exact verbiage and letter sizing as stated in figure 25 TAC 265.190(f)(5).,Misc fixes,COLLEYVILLE,LIFETIME FITNESS
146,pump gauge and filter inlet gauge not working.,Ensure to repair or replace gauges.,Repair/replace equipment,COLLEYVILLE,LIFETIME FITNESS
146,fence damaged in the northeast corner next to volleyball court fence.,Ensure to repair fence.,Gate/fence/latch,COLLEYVILLE,LIFETIME FITNESS
146,loose handrails.,Ensure to tighten handrails.,Misc fixes,COLLEYVILLE,LIFETIME FITNESS
146,sign not in compliance with state laws.,Ensure to have all signs with exact verbiage and letter sizing as stated in figure 25 TAC 265.190(f)(5).,Misc fixes,COLLEYVILLE,LIFETIME FITNESS
146,sign not in compliance with state laws.,Ensure to have all signs with exact verbiage and letter sizing as stated in figure 25 TAC 265.190(f)(5).,Misc fixes,COLLEYVILLE,LIFETIME FITNESS
146,ring buoy with no throw rope attached.,Must attach rope according to safety standards.,Misc fixes,COLLEYVILLE,LIFETIME FITNESS
147,expired test kit,ensure test kits are current,Misc fixes,GRAPEVINE,STONELEDGE
147,expired permit,ensure permits are current,Misc fixes,GRAPEVINE,STONELEDGE
148,"depth numbers show ""3 1/2 FT"" and not 3FT 6IN.",Ensure depth markers are replaced when damaged.,Signage/permit posting,HURST,VERANO OAKS
148,vacuum gauge is not functioning.,Ensure vacuum gauge is repaired or replaced.,Clean/clear water,HURST,VERANO OAKS
150,spa shut off sign not visible from interior of spa.,Ensure to post sign with directions to emergency shut off so that it is visible to spa patrons.,Signage/permit posting,COLLEYVILLE,LIFETIME FITNESS
150,maximum load signage not written in correct verbiage.,Ensure to have all signs with exact verbiage and letter sizing as stated in figure 25 TAC 265.190(f)(5).,Misc fixes,COLLEYVILLE,LIFETIME FITNESS
150,sign not written in correct verbiage.,Ensure to have all signs with exact verbiage and letter sizing as stated in figure 25 TAC 265.190(f)(5).,Misc fixes,COLLEYVILLE,LIFETIME FITNESS
150,no pump vacuum gauge or outlet gauge on the circulation system.,Ensure to replace gauges.,Repair/replace equipment,COLLEYVILLE,LIFETIME FITNESS
150,no skimmer weirs.,Ensure to replace skimmer weirs.,Repair/replace equipment,COLLEYVILLE,LIFETIME FITNESS
150,loose handrails.,Ensure to tighten handrails.,Misc fixes,COLLEYVILLE,LIFETIME FITNESS
151,signage on gates don't specify location of emergency phone,ensure signs at far end of pool provide location for emergency phone,Misc fixes,Grapevine,BEXLEY GRAPEVINE
153,sign not in compliance with state laws.,Ensure to have all signs with exact verbiage and letter sizing as stated in figure 25 TAC 265.190(f)(5).,Misc fixes,COLLEYVILLE,LIFETIME FITNESS
153,broken flow meter and missing vacuum gauge.,Ensure to replace flow meter and gauge.,Repair/replace equipment,COLLEYVILLE,LIFETIME FITNESS
153,cracked tiles on deck.,Ensure to replace damaged tiles.,Repair/replace equipment,COLLEYVILLE,LIFETIME FITNESS
153,sign not in compliance with state law.,Ensure to have all signs with exact verbiage and letter sizing as stated in figure 25 TAC 265.190(f)(5).,Misc fixes,COLLEYVILLE,LIFETIME FITNESS
154,feet an inch markers on side walls are not 4 inches.,Feet an inch markers must be 4 inches at minimum.,Misc fixes,COLLEYVILLE,WATER WINGS SWIM SCHOOL COLLEYVILLE 
154,loose handrail at pool exit/entry.,Ensure to tighten hand rail.,Misc fixes,COLLEYVILLE,WATER WINGS SWIM SCHOOL COLLEYVILLE 
154,no diving signage is in 3 inch letters.,"Ensure ""no diving"" letter sizing is 4 inches at minimum.",Misc fixes,COLLEYVILLE,WATER WINGS SWIM SCHOOL COLLEYVILLE 
155,sidewall markers for feet in inches are not in 4 inch lettering.,Sidewall markers for feet and inches must be in 4 inch lettering at minimum.,Misc fixes,COLLEYVILLE,WATER WINGS SWIM SCHOOL COLLEYVILLE
155,missing skimmer weirs.,Ensure to replace skimmer weirs.,Repair/replace equipment,COLLEYVILLE,WATER WINGS SWIM SCHOOL COLLEYVILLE
155,handrail on ladder entry is loose.,Ensure to tighten handrail.,Repair/replace equipment,COLLEYVILLE,WATER WINGS SWIM SCHOOL COLLEYVILLE
155,no diving signage is in 3 inch lettering.,Ensure no diving letters are 4 inches at minimum.,Misc fixes,COLLEYVILLE,WATER WINGS SWIM SCHOOL COLLEYVILLE
156,green growth at bottom of pool.,Must clean pool bottom prior to reinspection.,Clean/clear water,COLLEYVILLE,HAMPTON INN & SUITES
156,Unable to test lights at time of inspection.,Lights must be tested at reinspection.,Misc fixes,COLLEYVILLE,HAMPTON INN & SUITES
156,Unable to test GFCI at time of inspection.,Must test GFCI at reinspection.,Electrical/GFCI/Bonding,COLLEYVILLE,HAMPTON INN & SUITES
156,missing signage as indicated on Figure 25 TAC 265.190(f)(5).,Ensure to have all signs with exact verbiage and letter sizing as stated in Figure 25 TAC 265.190(f)(5).,Misc fixes,COLLEYVILLE,HAMPTON INN & SUITES
156,signage prohibiting children is wrong size and wording.,Ensure to have all signs with exact verbiage and letter sizing as stated in Figure 25 TAC 265.190(f)(5).,Misc fixes,COLLEYVILLE,HAMPTON INN & SUITES
156,911 signage is the wrong size and wording.,Ensure to have all signs with exact verbiage and letter sizing as stated in Figure 25 TAC 265.190(f)(5).,Misc fixes,COLLEYVILLE,HAMPTON INN & SUITES
156,emergency phone not functional at time of inspection.,Must repair phone and pass reinspection by TCPH prior to reopening.,Repair/replace equipment,COLLEYVILLE,HAMPTON INN & SUITES
156,uncovered trashcan in restroom.,Must provide covered trash can in women's restroom for proper disposal of feminine hygiene products.,Misc fixes,COLLEYVILLE,HAMPTON INN & SUITES
157,several skimmers in pool lacking weir doors.,Ensure to install weir doors on all skimmers.,Repair/replace equipment,WESTWORTH VILLAGE,VILLAGE OF HAWKS CREEK APT
158,that lone skimmer inside spa lacks weir door.,Ensure to store weir door on skimmer inside spa.,Repair/replace equipment,WESTWORTH VILLAGE,VILLAGE OF HAWKS CREEK APT
159,Missing extra main drain cover.,Ensure to have extra main drain cover.,Drain cover/VGBA,HALTOM CITY,EMMITT LUXURY APARTMENTS
159,Missing weirs.,Ensure to install weirs.,Repair/replace equipment,HALTOM CITY,EMMITT LUXURY APARTMENTS
159,expired permit.,Must renew immediately.,Misc fixes,HALTOM CITY,EMMITT LUXURY APARTMENTS
160,Missing extra main drain cover.,Ensure to have extra main drain cover.,Drain cover/VGBA,HALTOM CITY,EMMITT LUXURY APARTMENTS
160,Missing weirs.,Ensure to install weirs.,Repair/replace equipment,HALTOM CITY,EMMITT LUXURY APARTMENTS
160,expired health permit.,Must renew immediately.,Misc fixes,HALTOM CITY,EMMITT LUXURY APARTMENTS
